,관광지명,도시,테마,도로명주소,지번주소,위도,경도,구글별점,검색건수,데이터셋카테고리
640,수옥정,충청북도 괴산군,,"충청북도 괴산군 연풍면 수옥정길 174, 수옥정관광지관리사무소",충청북도 괴산군 연풍면 원풍리 52-5,36.81361722,128.036232,,,
641,변산해수욕장,전라북도 부안군,,전라북도 부안군 변산면 변산로 2086,전라북도 부안군 변산면 대항리 523-117,35.67999179,126.5309105,,,
642,위도해수욕장,전라북도 부안군,,전라북도 부안군 위도면 위도로 366,전라북도 부안군 위도면 진리 545,35.6058309773,126.2853294341,,,
643,모항해수욕장,전라북도 부안군,,전라북도 부안군 변산면 모항길 23-1,전라북도 부안군 변산면 도청리 165,35.5831428,126.5082098,,,
644,좌구산휴양랜드,충청북도 증평군,,충청북도 증평군 증평읍 솟점말길 107,충청북도 증평군 증평읍 율리 산 61-1,36.70556821,127.6511216,,,
645,좌구산 천문대,충청북도 증평군,,충청북도 증평군 증평읍 솟점말길 107,충청북도 증평군 증평읍 율리 산 61-1,36.70556821,127.6511216,,,
646,증평민속체험박물관,충청북도 증평군,,충청북도 증평군 증평읍 둔덕길 89,충청북도 증평군 증평읍 남하리 91,36.7638886,127.5955694,,,
647,보강천 미루나무숲,충청북도 증평군,,충청북도 증평군 증평읍 인삼로 23,충청북도 증평군 증평읍 송산리 667,36.7873273,127.5728127,,,
648,증평인삼판매장,충청북도 증평군,,충청북도 증평군 증평읍 중부로 2451,충청북도 증평군 증평읍 송산리 94-1,36.79588146,127.5817602,,,
649,에듀팜특구관광단지(벨포레리조트),충청북도 증평군,,충청북도 증평군 도안면 벨포레길 346,충청북도 증평군 증평읍 연촌리 산 58,36.84514868,127.5821182,,,
650,반월호수,경기도 군포시,,경기도 군포시 호수로 92,경기도 군포시 둔대동 52-2,37.3245823842,126.8899642222,,,
651,초막골 생태공원,경기도 군포시,,경기도 군포시 초막골길 216,경기도 군포시 산본동 856,37.3541009709,126.9191416994,,,
652,수리산 도립공원,경기도 군포시,,경기도 군포시 속달로 347-4,경기도 군포시 속달동 306,37.3479964585,126.9005247934,,,
653,수리산 산림욕장,경기도 군포시,,경기도 군포시 수리산로 6-2,경기도 군포시 산본동 1226,37.3576152712,126.9236481004,,,
654,철쭉동산,경기도 군포시,,경기도 군포시 고산로 460,경기도 군포시 산본동 1152-10,37.355608132,126.9269137321,,,
655,수리사,경기도 군포시,,경기도 군포시 속달로 347-181,경기도 군포시 속달동 329,37.3544360665,126.8967938163,,,
656,물누리체험관,경기도 군포시,,경기도 군포시 호수로 170-85,경기도 군포시 둔대동 301-5,37.3213650505,126.8996775289,,,
657,누리천문대,경기도 군포시,,경기도 군포시 대야2로 139,경기도 군포시 대야미동 636-7,37.3302828307,126.9153443922,,,
658,문경새재 도립공원,경상북도 문경시,,경상북도 문경시 문경읍 새재로 932,,36.76160207,128.0769905,,,
659,문경 에코랄라(석탄박물관 포함),경상북도 문경시,,경상북도 문경시 가은읍 왕능길 112,,36.65420039,128.0613259,,,
660,문경 철로자전거(진남역),경상북도 문경시,,,경상북도 문경시 마성면 신현리 126-1,36.6546769,128.1263292,,,
661,문경 철로자전거(구랑리역),경상북도 문경시,,경상북도 문경시 마성면 구랑로 20,,36.66102501,128.0993075,,,
662,문경 철로자전거(가은역),경상북도 문경시,,경상북도 문경시 가은읍 대야로 2445,,36.64931827,128.0607306,,,
663,문경 오미자테마터널,경상북도 문경시,,,경상북도 문경시 마성면 신현리 103-1,36.65989315,128.1286031,,,
664,"고모산성, 토끼비리",경상북도 문경시,,,경상북도 문경시 마성면 신현리 산30-1,36.661492,128.1269726,,,
665,문경짚라인,경상북도 문경시,,경상북도 문경시 불정길 174,,36.62285644,128.1367824,,,
666,문경 종합온천,경상북도 문경시,,경상북도 문경시 문경읍 온천2길 24,,36.72937376,128.1089547,,,
667,문경 활공랜드,경상북도 문경시,,,경상북도 문경시 문경읍 고요리 436-2,36.7362239,128.1517095,,,
668,불정자연휴양림,경상북도 문경시,,경상북도 문경시 불정길 180,,36.62128207,128.1365074,,,
669,선바위관광지,경상북도 영양군,,경상북도 영양군 입암면 영양로 883-16,,36.60854407,129.0820141,,,
670,탑산약수온천,경상북도 의성군,,경상북도 의성군 봉양면 도리원2길 88-42,경상북도 의성군 봉양면 구산리 1635,36.3039619471,128.5892642391,,,
671,석정온천관광지,전라북도 고창군,,전라북도 고창군 고창읍 석정2로 173,전라북도 고창군 고창읍 석정리 733,35.43111098,126.7405968,,,
672,고석정,강원도 철원군,,강원도 철원군 동송읍 태봉로 1825,강원도 철원군 동송읍 장흥리 20-1,38.18542141,127.2874037,,,
673,직탕,강원도 철원군,,강원도 철원군 갈말읍 직탕길 32,강원도 철원군 갈말읍 상사리 552,38.2069247,127.2690548,,,
674,오동도,전라남도 여수시,,전라남도 여수시 오동도로 222,전라남도 여수시 수정동 1-2,34.7443435,127.764121,,,
675,진남관,전라남도 여수시,,전라남도 여수시 동문로 11,전라남도 여수시 군자동 472,34.7413383,127.7365704127,,,
676,향일암,전라남도 여수시,,전라남도 여수시 돌산읍 향일암로 60,전라남도 여수시 율림리 산 7,34.59379448,127.8029861,,,
677,여수해상케이블카,전라남도 여수시,,전라남도 여수시 자산4길 39,전라남도 여수시 수정동 332-57,34.7402223,127.7529196721,,,
678,여수세계박람회장,전라남도 여수시,,전라남도 여수시 박람회길 1,전라남도 여수시 덕충동 2005,34.7521895579,127.7465005087,,,
679,여수해양공원,전라남도 여수시,,전라남도 여수시 하멜로 96,전라남도 여수시 종화동 458-5,34.7367669832,127.7484079149,,,
680,예술랜드리조트,전라남도 여수시,,"전라남도 여수시 돌산읍 무술목길 142-1,",전라남도 여수시 돌산읍 평사리 산244,34.6951070227,127.7769452235,,,
681,여수이순신대교,전라남도 여수시,,전남 여수시 묘도7길 110,전남 여수시 묘도동 산127-37,34.888766,127.705501,,,
682,신정호국민관광지,충청남도 아산시,,충청남도 아산시 신정로 616,충청남도 아산시 방축동 5,36.7715214106,126.9839151707,,,
683,아산온천관광지,충청남도 아산시,,충청남도 아산시 송악면 도송로632번길 138,충청남도 아산시 음봉면 신수리 292-6,36.6988475905,126.9666068657,,,
684,두타연,강원도 양구군,,강원도 방산면 두타연로 297,강원도 양구군 방산면 고방산리 1024,38.272446,127.995484,,,
685,한반도섬,강원도 양구군,,강원도 양구군 양구읍 고대리 649-1,강원도 양구군 양구읍 고대리 649-1,38.130582,127.982972,,,
686,을지전망대,강원도 양구군,,강원도 양구군 해안면 전망대로 540,강원도 양구군 해안면 후리 621,38.3247414638,128.1355517642,,,
687,제4땅굴,강원도 양구군,,양구군 해안면 땅굴로 454,강원도 양구군 해안면 이현리 743,38.3196354237,128.1107276057,,,
688,국토정중앙천문대,강원도 양구군,,강원도 양구군 남면 국토정중앙로 127,강원도 양구군 남면 도촌리 96-5,38.0689400086,128.0296779964,,,
689,"양구자연생태공원(생태식물원,DMZ야상화분재원,DMZ야생동물생태관)",강원도 양구군,,강원도 양구군 동면 숨골로 310번길 169,강원도 양구군 동면 원당리 180,38.191978,128.0769702285,,,
690,대가야생활촌,경상북도 고령군,,경상북도 고령군 대가야읍 신남로 81,경상북도 고령군 대가야읍 고아리 658,35.7118532,128.269244,,,
691,대가야역사테마관광지,경상북도 고령군,,경상북도 고령군 대가야읍 대가야로 1216,경상북도 고령군 대가야읍 지산리 471-1,35.72008263,128.2596761,,,
692,부례관광지,경상북도 고령군,,경상북도 고령군 우곡면 우곡강변길 672,경상북도 고령군 우곡면 예곡리 97,35.67179721,128.3596243,,,
693,청도박물관,경상북도 청도군,,경상북도 청도군 이서면 이서로 567,경상북도 청도군 이서면 양원리 129-5,35.6942561,128.6865383,,,
694,한국코미디타운,경상북도 청도군,,경상북도 청도군 이서면 이서로 565,경상북도 청도군 이서면 양원리 91-3,35.69358881,128.6863121,,,
695,소싸움테마파크,경상북도 청도군,,경상북도 청도군 화양읍 남성현로 346,경상북도 청도군 화양읍 삼신리 1059-1,35.68529236,128.724138,,,
696,청도레일바이크,경상북도 청도군,,경상북도 청도군 청도읍 하지길 46-51,경상북도 청도군 청도읍 신도리 48-2,35.58811543,128.7661723,,,
697,청도자전거공원,경상북도 청도군,,,경상북도 청도군 청도읍 유호리 39-15,35.58765883,128.7653536,,,
698,청도신화랑풍류마을,경상북도 청도군,,경상북도 청도군 운문면 운문로 2455,경상북도 청도군 운문면 방지리 89,35.71807519,128.9223074,,,
699,새마을운동발상지기념공원,경상북도 청도군,,경상북도 청도군 청도읍 새마을1길 34,경상북도 청도군 청도읍 신도리 18-2,35.60019163,128.7661495,,,
700,청도소싸움경기장,경상북도 청도군,,경상북도 청도군 화양읍 남성현로 348,경상북도 청도군 화양읍 삼신리 693-2,35.68673395,128.7251463,,,
701,와인터널,경상북도 청도군,,경상북도 청도군 화양읍 송금길 100,경상북도 청도군 화양읍 송금리 산121,35.71513567,128.7205341,,,
702,프로방스 포토랜드,경상북도 청도군,,경상북도 청도군 화양읍 이슬미로 272-20,경상북도 청도군 화양읍 삼신리 877,35.68355077,128.7188703,,,
703,가산산성,경상북도 칠곡군,,,경상북도 칠곡군 동명면 남원리 32-78,36.021011,128.590851,,,
704,가산산성야영장,경상북도 칠곡군,,경상북도 칠곡군 동명면 한티로 1034,,36.016197,128.618108,,,
705,구상문학관,경상북도 칠곡군,,경상북도 칠곡군 왜관읍 구상길 191,,35.983943,128.394568,,,
706,다부동전적기념관,경상북도 칠곡군,,경상북도 칠곡군 가산면 호국로 1486,,36.046443,128.518875,,,
707,송정자연휴양림,경상북도 칠곡군,,경상북도 칠곡군 석적읍 반계3길 88,,36.023332,128.441641,,,
708,칠곡보오토캠핑장,경상북도 칠곡군,,경상북도 칠곡군 약목면 강변서로 110-43,,36.020591,128.394566,,,
709,칠곡호국평화기념관,경상북도 칠곡군,,경상북도 칠곡군 석적읍 강변대로 1580,,36.017918,128.404032,,,
710,칠곡양떼목장,경상북도 칠곡군,,경상북도 칠곡군 지천면 창평로 209-42,,35.984545,128.48874,,,
711,가산수피아,경상북도 칠곡군,,경상북도 칠곡군 가산면 학하들안2길 105,,36.086109,128.485044,,,
712,국립칠곡숲체원,경상북도 칠곡군,,경상북도 칠곡군 석적읍 유학로 532,,36.063539,128.466183,,,
713,마곡사관광지,충청남도 공주시,,,충청남도 공주시 사곡면 운암리 731-2,36.5561713566,127.020329,,,
714,공주문화관광지,충청남도 공주시,,,충청남도 공주시 웅진동 431,36.4707618338,127.1108054958,,,
715,지리산 온천관광지,전라남도 구례군,,전라남도 구례군 산동면 지리산온천로 261,전라남도 구례군 산동면 관산리 522,35.3184937,127.4577881,,,
716,사계고택,충청남도 계룡시,,충청남도 계룡시 두마면 사계로 122-4,충청남도 계룡시 두마면 두계리 96,36.265691,127.271724,,,
717,모원재,충청남도 계룡시,,충청남도 계룡시 두마면 왕대2길6-10,충청남도 계룡시 두마면 왕대리 281-1,36.254886,127.2732752845,,,
718,염선재,충청남도 계룡시,,충청남도 계룡시 사계로 5-16(금암동),충청남도 계룡시 금암동 45,36.2693923,127.261851,,,
719,이심원충신정려현판,충청남도 계룡시,,충청남도 계룡시 금암1 길 7(금암동),충청남도 계룡시 금암동 281-4,36.280034,127.2470773156,,,
720,신원재,충청남도 계룡시,,충청남도 계룡시 두마면 왕대2길43,충청남도 계룡시 두마면 왕대리 299,36.255245,127.270342,,,
721,광덕계곡관광지,강원도 화천군,,강원도 화천군 사내면 포화로 일원,강원도 화천군 사내면 광덕리 일원,38.1077,127.4412,,,
722,불회사,전라남도 나주시,,전라남도 나주시 다도면 다도로 1224-142,전라남도 나주시 다도면 마산리 999,34.9085344,126.8212738,,,
723,금성관,전라남도 나주시,,전라남도 나주시 금성관길 8,전라남도 나주시 과원동 109-5,35.0328694,126.7144929,,,
724,도래마을(홍기옥 가옥),전라남도 나주시,,전라남도 나주시 다도면 동력길 16,전라남도 나주시 다도면 풍산리 199,34.9982734,126.8203117,,,
725,정수루,전라남도 나주시,,전라남도 나주시 금성관길 13-20,전라남도 나주시 금계동 33-18,35.0321775,126.7160575,,,
726,나주향교,전라남도 나주시,,전라남도 나주시 향교길 38,전라남도 나주시 교동 32-3,35.0335556,126.7093249,,,
727,완사천,전라남도 나주시,,전라남도 나주시 완사천길 14,전라남도 나주시 송월동 1096-13,35.0154791,126.7118546,,,
728,목사내아,전라남도 나주시,,전라남도 나주시 금성관길 13-8,전라남도 나주시 금계동 33-31,35.0320205,126.7143379,,,
729,영모정,전라남도 나주시,,전라남도 나주시 다시면 회진길 14-8,전라남도 나주시 다시면 회진리 101,34.9972536,126.6649382,,,
730,남고문,전라남도 나주시,,,전라남도 나주시 남내동 2-20,35.0295791,126.7183107,,,
731,구)나주역,전라남도 나주시,,전라남도 나주시 죽림길 26,전라남도 나주시 죽림동 60-172,35.0280742,126.7240915,,,
732,노안천주교회,전라남도 나주시,,전라남도 나주시 노안면 이슬촌길 108,전라남도 나주시 노안면 양천리 780,35.1035406,126.6729169,,,
733,나주시천연염색박물관,전라남도 나주시,,전라남도 나주시 다시면 백호로 379,전라남도 나주시 다시면 회진리 163,34.9941709,126.660678,,,
734,나주목문화관,전라남도 나주시,,전라남도 나주시 금성관길 15,전라남도 나주시 금계동 13-2,35.0322924,126.7135485,,,
735,중흥골드스파&리조트,전라남도 나주시,,전라남도 나주시 다도면 나주호로 558-314,전라남도 나주시 다도면 방산리 1449-4,34.9482971,126.8692314,,,
736,나주영상테마파크,전라남도 나주시,,전라남도 나주시 공산면 덕음로 450,전라남도 나주시 공산면 신곡리 산2,34.9789507,126.5995011,,,
737,남파고택,전라남도 나주시,,전라남도 나주시 금성길 13,전라남도 나주시 남내동 95-25,35.0306171,126.71622,,,
738,반남고분군,전라남도 나주시,,전라남도 나주시 반남면 고분로 756,전라남도 나주시 반남면 신촌리 249-2,34.914685,126.6591998,,,
739,백호문학관,전라남도 나주시,,전라남도 나주시 다시면 회진길 8,전라남도 나주시 다시면 회진리 103,34.996891,126.6647524,,,
740,국립나주박물관,전라남도 나주시,,전라남도 나주시 반남면 고분로 747,전라남도 나주시 신촌리 152-25,34.9144962,126.6574509,,,
