,관광지명,도시,테마,도로명주소,지번주소,위도,경도,구글별점,검색건수,데이터셋카테고리,지도상 관광지명,별점,리뷰개수
355,운천저수지,광주광역시,,,광주광역시 서구 쌍촌동 869-9,35.14717497,126.8562207,,89800,,운천저수지,4.2,1579
356,월봉서원,광주광역시,,광주광역시 광산구 광곡길 133,광주광역시 광산구 광산동 452,35.235863,126.7451862,,61900,,월봉서원,4.5,140
357,용진정사,광주광역시,,,광주광역시 광산구 왕동 3-4,35.19745908,126.7243872,,19200,,용진정사,4.1,36
358,황룡친수공원,광주광역시,,,광주광역시 광산구 선암동 241-31,35.14394537,126.774342,,8800,,황룡친수공원,4.3,411
359,양산호수공원,광주광역시,,광주광역시 북구 하서로 311,광주광역시 북구 양산동 288-3,35.20276943,126.8736492,,1920000,,양산호수공원,4.5,465
360,쌍암공원,광주광역시,,광주광역시 광산구 첨단중앙로182번길 39,광주광역시 광산구 쌍암동 653-1,35.22222807,126.8442514,,48200,,쌍암공원,4.5,1264
361,대인예술시장,광주광역시,,광주광역시 동구 독립로 284-2,광주광역시 동구 대인동 329,35.15612043,126.9128901,,566000,,대인시장,3.9,1236
362,상무시민공원,광주광역시,,,광주광역시 서구 치평동 1162,35.15422831,126.8420517,,832000,,상무시민공원,4.4,1055
363,광주광역시월드컵경기장,광주광역시,,광주광역시 서구 금화로 240,,35.13364608,126.874879,,369000,,광주월드컵경기장,4.3,699
364,평화공원,광주광역시,,광주광역시 서구 내방로 102,,35.15654724,126.8516022,,6030000,,(재단)평화공원묘원,4.0,1
365,5.18기념공원,광주광역시,,광주광역시 서구 내방로 152,,35.15830536,126.8575559,,151000,,5·18기념공원,4.4,616
366,무각사,광주광역시,,광주광역시 서구 운천로 230,,35.15378107,126.8560181,,29800,,무각사,4.4,397
367,창작농성골,광주광역시,,광주광역시 서구 월산로173번길 15-1,,35.15297291,126.8929141,,15700,,농성골,4.4,178
368,유적근린공원,광주광역시,,광주광역시 서구 천변우하로 469,,35.16879873,126.8714435,,142000,,두루봉근린공원,4.2,27
369,청춘발산마을,광주광역시,,광주광역시 서구 천변좌로108번길 17-13,,35.15917994,126.8919941,,127000,,청춘발산마을,3.6,341
370,화담사,광주광역시,,광주광역시 서구 화운로156번길 17-8,광주광역시 서구 화정동 781-23,35.15352999,126.8784258,,148000,,화담사,3.8,18
371,요트올림픽동산지구,부산광역시 해운대구,,부산광역시 해운대구 APEC로 30,부산광역시 해운대구 우동 1413-4,35.16578256,129.1350266,,116000,,올림픽동산,4.1,323
372,동백섬,부산광역시 해운대구,,부산광역시 해운대구 동백로 116,부산광역시 해운대구 우동 708-1,35.15234205,129.1513619,,561000,,동백섬,4.6,217
373,해운대해수욕장,부산광역시 해운대구,,부산광역시 해운대구 해운대해변로 264,부산광역시 해운대구 우동 620-3,35.15910698,129.1602838,,0,,해운대해수욕장,4.5,1361
374,달맞이동산지구,부산광역시 해운대구,,부산광역시 해운대구 달맞이길 190,부산광역시 해운대구 중동 산 42-25,35.15768146,129.1825429,,121000,,달맞이동산,4.2,1237
375,당항포관광지,경상남도 고성군,,경상남도 고성군 회화면 당항만로 1116,경상남도 고성군 회화면 봉동리 950-1,35.0532261508,128.3920276219,,84500,,당항포관광지,4.2,305
376,장성호관광지,전라남도 장성군,,전라남도 장성군 북하면 백양로 591-4,전라남도 장성군 북하면 쌍웅리 산38-1,35.41373254,126.8508186,,89400,,장성호 관광지,4.2,259
377,홍길동테마파크,전라남도 장성군,,전라남도 장성군 황룡면 홍길동로 431,전라남도 장성군 황룡면 아곡리 373,35.31862071,126.7265578,,44800,,홍길동테마파크,4.0,431
378,용호 Sea-Side 관광지,부산광역시 남구,,부산광역시 남구 용호동 산 205번지,부산광역시 남구 용호동 산 205번지,35.101225,129.120361,,83600,,이기대 해안산책로,4.6,457
379,진주성,경상남도 진주시,,경상남도 진주시 남강로 626(본성동),경상남도 진주시 본성동 415,35.19043229,128.0802214,,467000,,진주성,4.5,3573
380,진양호,경상남도 진주시,,경상남도 진주시 남강로1번길 130(판문동),경상남도 진주시 판문동 산171-1,35.17660992,128.0362677,,0,,진양호,4.3,23
381,경상남도 수목원,경상남도 진주시,,경상남도 진주시 이반성면 수목원로 386,경상남도 진주시 이반성면 대천리 482-1,35.15719862,128.2957346,,886000,,경상남도수목원,4.4,1496
382,무주 덕유산 리조트,전라북도 무주군,,전라북도 무주군 설천면 만선로 185,전라북도 무주군 설천면 심곡리 산43-15,35.889797,127.731389,,296000,,무주덕유산리조트,4.0,1399
383,벽계야영장,경상남도 의령군,,경상남도 의령군 궁류면 벽계로 201,경상남도 의령군 궁류면 벽계리 379,35.42604967,128.2080942,,9450,,벽계야영장,4.2,88
384,소래포구,인천광역시 남동구,,인천광역시 남동구 포구로 2-9(논현동),,37.3988308,126.7403795,,587000,,소래포구 전통 어시장,3.5,10211
385,소래습지생태공원,인천광역시 남동구,,인천광역시 남동구 소래로 154번길 77(논현동),,37.40736572,126.7463366,,139000,,소래생태습지,4.2,790
386,소래철교,인천광역시 남동구,,인천광역시 남동구 포구로 2-9(논현동),,37.3988308,126.7403795,,24400,,소래철교,4.2,19
387,장도포대지,인천광역시 남동구,,,인천광역시 남동구 논현동 111-13,37.39790186,126.7382687,,52900,,장도포대지,3.9,17
388,소래역사관,인천광역시 남동구,,인천광역시 남동구 아암대로 1605(논현동),,37.39816347,126.7375992,,47900,,소래역사관,3.8,80
389,화암관광지,강원도 정선군,,강원도 정선군 화암면 화암동굴길 12-13,강원도 정선군 화암면 화암리 540-12,37.35092374,128.7896216,,220000,,화암동굴,4.5,169
390,아우라지 관광지,강원도 정선군,,강원도 정선군 여량면 아우라지길 69,강원도 정선군 여량면 여량리 186-1,37.47574407,128.7243663,,105000,,아우라지 관광지,4.2,1126
391,서포리관광지,인천광역시 옹진군,,인천광역시 옹진군 덕적면 덕적남로606번길 3,인천광역시 옹진군 덕적면 서포리 229-23,37.2232919,126.1169337,,23200,,서포리해변,4.8,12
392,보은 삼년산성,충청북도 보은군,,충청북도 보은군 보은읍 성주1길 104,충청북도 보은군 보은읍 어암리 280-1,36.48993999,127.7417752,,30100,,삼년산성,4.3,127
393,보은 우당고택,충청북도 보은군,,충청북도 보은군 장안면 개안길 10-2,충청북도 보은군 장안면 개안리 154,36.46857583,127.7906134,,5940,,보은 우당고택 (선병국가옥),3.8,70
394,속리산 법주사,충청북도 보은군,,충청북도 보은군 속리산면 법주사로 379,충청북도 보은군 속리산면 사내리 209,36.53993659,127.8306346,,204000,,법주사,4.4,3342
395,동학농민혁명기념공원,충청북도 보은군,,충청북도 보은군 보은읍 동학로 236-22,충청북도 보은군 보은읍 성족리 산16,36.51567136,127.7591951,,282000,,동학농민혁명기념관,4.3,186
396,대천해수욕장,충청남도 보령시,,충청남도 보령시 머드로 123,,36.31554012,126.5108563,,552000,,대천해수욕장,4.4,353
397,무창포해수욕장,충청남도 보령시,,충청남도 보령시 웅천읍 열린바다1길 10,,36.24457737,126.5365426,,0,,무창포해수욕장,4.2,69
398,간현관광지,강원도 원주시,,강원도 원주시 지정면 소금산길 26,강원도 원주시 지정면 간현리 1056-5,37.36489327,127.832544,,155000,,간현관광지(소금산그랜드밸리),4.2,5506
399,"목포근대역사관 1관 (구, 일본영사관)",전라남도 목포시,,목포시 영산로 29번길 6,전라남도 목포시 대의동2가 1-5,34.7876957778,126.3817941784,,14800,,목포 근대역사관 1관,4.2,2254
400,"목포근대역사관 2관 (구,동양척식주식회사)",전라남도 목포시,,목포시 번화로 18,전라남도 목포시 중앙동2가 6,34.7859637376,126.3814912397,,4890,,목포 근대역사관 2관(구 동양척식주식회사 목포지점),4.2,539
401,동춘당,대전광역시,,대전광역시 대덕구 동춘당로 80,대전광역시 대덕구 송촌동 192,36.36537889,127.4412933,,126000,,동춘당,4.4,251
402,성옥기념관,전라남도 목포시,,목포시 영산로 11,전라남도 목포시 유달동 4-2,34.7869857572,126.379864507,,9220,,성옥기념관,4.4,34
403,구 동본원사 목포별원,전라남도 목포시,,목포시 영산로 75번길 5,전라남도 목포시 무안동 2-4,34.7897003158,126.3842863497,,3070,,오거리문화센터(구 동본원사 목포별원),4.1,46
404,유달산,전라남도 목포시,,목포시 유달로 180,전라남도 목포시 죽교동 300,34.7914299321,126.3759182609,,369000,,유달산,4.5,90
405,서산동 시화골목,전라남도 목포시,,목포시 해안로127번길 14-2,전라남도 목포시 서산동 12-89,34.7817451946,126.3773176322,,18400,,서산동 시화골목,4.0,135
406,연희네슈퍼(영화 1987 촬영지),전라남도 목포시,,목포시 해안로127번길 14-2,전라남도 목포시 서산동 12-89,34.7817451946,126.3773176322,,15600,,연희네슈퍼(1987 촬영지),3.9,684
407,춤추는 바다분수,전라남도 목포시,,목포시 평화로 82,전라남도 목포시 상동 1157,34.7966621284,126.4337908816,,104000,,목포 춤추는 바다분수,4.3,354
408,목포해상케이블카,전라남도 목포시,,목포시 해양대학로 240,전라남도 목포시 죽교동 516-101,34.7994017882,126.370023893,,348000,,목포해상케이블카 북항승강장,4.3,3285
409,삼학도크루즈,전라남도 목포시,,목포시 삼학로 92번길 104,전라남도 목포시 산정동 1454-7,34.7810157076,126.3879310309,,23900,,삼학도크루즈,3.8,22
410,김대중노벨평화상기념관,전라남도 목포시,,목포시 삼학로 92번길 68,전라남도 목포시 산정동 1481,34.7828517737,126.3922505599,,65700,,김대중 노벨평화상기념관,4.4,1316
