,관광지명,도시,테마,도로명주소,지번주소,위도,경도,구글별점,검색건수,데이터셋카테고리,지도상 관광지명,리뷰개수
134,해양자연사박물관,부산광역시 동래구,,부산광역시 동래구 우장춘로 175 (온천동),부산광역시 동래구 온천동 산 13-1,35.2219498,129.075647,4.4,319,,부산해양자연사박물관,742
135,표충비,경상남도 밀양시,,경상남도 밀양시 무안면 동부동안길4,,35.471582,128.6520376,4.2,232,,밀양 표충비,297
136,작원관지,경상남도 밀양시,,경상남도 밀양시 삼랑진읍 작원관지길 77,경상남도 밀양시 삼랑진읍 검세리 135,35.398531257,128.866576344,4.1,247,,작원관지,133
137,예림서원,경상남도 밀양시,,경상남도 밀양시 부북면 예림서원로128,,35.46605971,128.7299691,3.9,242,,예림서원,91
138,밀양향교,경상남도 밀양시,,경상남도 밀양시 밀양향교3길 19 (교동),,35.50660573,128.7545381,4.4,264,,밀양향교,57
139,밀양관아,경상남도 밀양시,,경상남도 밀양시 중앙로348,,35.49429512,128.754331,4.2,146,,밀양관아지,19
140,밀양영남루,경상남도 밀양시,,경상남도 밀양시 중앙로324,,35.49154522,128.755608,4.4,0,,영남루,1775
141,만어사,경상남도 밀양시,,경상남도 밀양시 삼랑진읍 만어로776,,35.454932,128.846222,4.4,0,,만어사(萬魚寺),1486
142,표충사,경상남도 밀양시,,경상남도 밀양시 단장면 표충로1338,,35.532294,128.959045,4.3,0,,대한불교조계종 표충사(表忠寺),1868
143,고씨굴 관광지,강원도 영월군,,강원도 영월군 김삿갓면 영월동로 1111,강원도 영월군 김삿갓면 진별리 506-1,37.13117779,128.5352623,4.1,0,,고씨동굴,1291
144,부석사관광지,경상북도 영주시,,경상북도 영주시 부석면 부석사로 298,경상북도 영주시 부석면 북지리 301-4,36.99435088,128.6797054,4.5,284,,영주 부석사 당간지주,28
145,장계관광지,충청북도 옥천군,,충청북도 옥천군 안내면 장계1길 57,충청북도 옥천군 안내면 장계리 산7-1,36.37728877,127.6356203,3.8,249,,장계관광지,384
146,금강하구둑관광지,충청남도 서천군,,충청남도 서천군 마서면 장산로 855번길 56-2,충청남도 서천군 마서면 도삼리 71-5,36.01993599,126.736726,4.0,222,,금강하구둑,141
147,춘장대,충청남도 서천군,,충청남도 서천군 서면 춘장대길 20,충청남도 서천군 서면 도둔리 1319,36.16334922,126.5243355,4.1,277,,춘장대해수욕장,74
148,으능정이문화의거리,대전광역시,,대전광역시 중구 중앙로 170,대전광역시 중구 은행동 45-10,36.32934665,127.428337,4.3,117,,으능정이 문화의 거리,63
149,온달관광지,충청북도 단양군,,충청북도 단양군 영춘면 온달로 23,충청북도 단양군 영춘면 하리 147,37.06295564,128.4929221,4.0,227,,온달관광지,1659
150,천동관광지,충청북도 단양군,,충청북도 단양군 단양읍 다리안로 520,충청북도 단양군 단양읍 천동리 201,36.97401141,128.4165952,3.5,130,,천동국민관광지 천동동굴,54
