,관광지,별점,리뷰수
287,산토끼노래동산,4.0,1
288,광주향교,4.1,40
289,광주 포충사,4.4,333
290,광주어린이교통공원,4.2,317
291,국립광주과학관,4.4,"1,800"
292,국립광주박물관,4.3,"1,128"
293,김대중컨벤션센터,5.0,1
294,동대문역사문화공원,4.3,288
295,푸른길,4.4,"1,906"
296,보라매축구공원,3.9,122
297,운남동 근린공원,4.2,158
298,경암근린공원,4.2,158
299,무양서원,4.0,23
300,용아생가,4.3,7
301,1913 송정역시장,4.0,"1,077"
302,유애서원(경장각),,
303,양림동 역사문화마을,4.1,89
304,부용정,4.6,5
305,고싸움영상체험관,3.6,20
306,광주김치타운,4.1,196
307,사직전망타워,5.0,1
308,사직전망타워,4.3,812
309,용반들근린공원,4.1,19
310,영산강6경(승촌보) 승촌보문화관,4.3,160
311,근린공원,3.8,52
312,근린공원,3.8,52
313,펭귄마을,4.4,"1,906"
314,빛고을농촌테마공원,4.1,45
315,꽃하나,4.5,19
316,양산호수공원,4.5,462
317,증심사,4.3,518
318,대전어린이문화센터,4.5,322
319,광주 포충사,4.4,333
320,광주시립미술관 하정웅미술관,4.3,191
321,광주광역시립미술관,4.3,906
322,수완호수공원,4.4,"1,906"
323,국립아시아문화전당,4.6,347
324,수원전통문화관,4.6,240
325,무등산 지산유원지,4.0,312
326,광주백범기념관,5.0,3
327,광주학생독립운동기념관,4.6,168
328,조선대학교 장미원,,
329,산동교 친수공원,4.3,411
330,푸른길,4.4,"1,906"
331,원효사,5.0,1
332,문화근린공원,4.1,45
333,영산강 거징이 쉼터,3.8,11
334,광주천,5.0,1
335,전남대학교 용지관,4.9,10
336,맥문동 숲길,3.8,6
337,용봉제,4.3,3
338,운암제,,
339,국립5.18묘지관리소,5.0,1
340,국립5.18묘지관리소,5.0,1
341,광주광역시 문화예술회관,4.3,904
342,광주-기아 챔피언스 필드,4.3,14
343,광주역사민속박물관,4.3,"1,126"
344,대전대학교박물관,4.0,23
345,우치공원동물원,4.3,"1,183"
346,녹색에너지,5.0,1
347,광주시민의숲야영장,4.3,192
348,광주호 호수생태원,4.5,"2,379"
349,풍암정,4.6,90
350,중외공원,4.4,"1,906"
351,광주어린이대공원,4.2,462
352,5.18자유공원,4.4,612
353,매월호수공원(전평제근린공원),4.4,"1,906"
354,풍암생활체육공원,4.4,"1,906"
355,운천저수지,4.5,8
356,월봉서원,4.6,5
357,용진정사,4.8,4
358,황룡친수공원,4.4,"1,906"
359,양산호수공원,4.5,462
360,쌍암공원,4.1,465
361,대인시장,1.0,1
362,상무시민공원,4.1,184
363,광주월드컵경기장,4.3,686
364,(재단)평화공원묘원,4.0,1
365,5·18기념공원,4.4,613
366,무각사,4.3,518
367,농성골,4.4,176
368,변동근린공원,4.1,102
369,청춘발산마을,4.5,2
370,화담사,3.8,18
371,올림픽동산,3.5,10
372,동백섬,4.5,216
373,해운대해수욕장,4.5,"1,343"
374,달맞이동산,4.4,34
375,당항포관광지,4.2,"2,302"
376,장성호 관광지,4.3,6
377,홍길동테마파크,4.1,54
378,이기대 해안산책로,4.6,457
379,진주성,4.7,835
380,진양호,4.3,23
381,경상남도수목원,4.3,13
382,무주덕유산리조트,4.0,"1,384"
383,벽계야영장,4.6,139
384,소래포구 전통 어시장,4.1,13
385,소래생태습지,4.2,790
386,소래철교,4.2,19
387,장도포대지,3.8,35
388,소래역사관,3.5,44
389,화암동굴,4.5,148
390,아우라지 관광지,3.7,"2,921"
391,서포리해변,4.8,12
392,삼년산성,3.0,4
393,보은 우당고택 (선병국가옥),4.1,10
394,법주사,4.4,"3,290"
395,동학농민혁명기념관,3.8,6
396,대천해수욕장,4.4,352
397,무창포해수욕장,4.2,68
398,간현관광지(소금산그랜드밸리),4.2,"5,383"
399,목포 근대역사관 1관,4.3,"1,487"
400,목포 근대역사관 2관(구 동양척식주식회사 목포지점),4.3,"1,487"
401,회덕동춘당,4.4,242
402,성옥기념관,4.1,99
403,오거리문화센터(구 동본원사 목포별원),4.3,33
404,유달산,4.5,89
405,서산동 시화골목,4.2,"1,780"
406,연희네슈퍼(1987 촬영지),3.0,4
407,목포 춤추는 바다분수,4.3,666
408,목포해상케이블카 북항승강장,4.3,"3,229"
409,삼학도크루즈,4.4,218
410,김대중 노벨평화상기념관,4.2,"2,220"
411,목포자연사박물관,4.2,538
412,대구 팔공산 갓바위,4.6,"4,353"
413,가스과학관,5.0,3
414,인천상륙작전기념관,3.9,"10,413"
415,인천도시역사관,4.2,222
416,가천박물관,4.1,31
417,대전오월드,,
418,뿌리공원,,
419,대전 엑스포 과학공원,4.0,91
420,한밭수목원,4.6,"3,147"
421,계족산 황톳길,4.5,383
422,대청호반자연생태공원,,
423,장태산 자연휴양림,4.5,"4,019"
424,둘레,4.0,1
425,유성호텔 대온천탕,4.4,74
426,팔공산 하늘정원,,
427,김수환 추기경 사랑과 나눔공원,,
428,사라온 이야기마을,,
429,금정산,4.6,91
430,범어사,,
431,회동수원지,4.4,90
432,서동미로시장,,
433,스포원파크,4.5,13
434,한국이슬람중앙회 부산성원,4.3,25
435,요산김정한문학관,3.7,25
436,천주교 오륜대 한국순교자 박물관,4.7,52
437,부산대학교,4.4,549
438,금정산성마을,,
439,삽교호 관광지,3.9,"2,970"
440,왜목마을,3.9,"4,335"
441,난지섬관광지관리사무소,3.5,8
442,유당공원,3.8,5
443,국립희리산해송자연휴양림,4.3,456
444,광양은장도전수관박물관,5.0,1
445,전북도립미술관,4.2,786
446,미당서정주의 집,3.0,2
447,광양와인동굴,3.7,31
448,광양역사문화관,4.3,4
449,사라실라벤더시험재배단지,4.1,53
450,광양시사라실예술촌,4.2,106
451,마로산성,4.3,6
452,광양궁시전수교육관,3.0,8
453,매천황현생가,5.0,1
454,광양해달별천문대,4.2,38
455,백운산자연휴양림,3.9,19
456,광양 옥룡사지,4.5,28
457,국사봉랜드,4.1,29
458,광양기독교100주년,5.0,1
459,망덕포구,3.8,14
460,윤동주 유고보존정병욱가옥,4.0,311
461,광양매화문화관,5.0,1
462,느랭이골휴양림,4.7,107
463,구봉산 전망대,4.0,1
464,광양항 해양공원,3.0,3
465,유림공원 무지개다리,4.6,54
466,해오름,,
467,배알도수변공원,4.1,32
468,광양김시식지,3.1,938
469,능강계곡,4.2,221
470,금월봉,4.6,124
471,청주 계산리 오층석탑,4.1,21
472,만남의광장,3.3,4
473,청풍문화재단지,4.2,"1,749"
474,의림지,4.3,"3,905"
475,경주교촌마을,4.1,"4,547"
476,치산관광지 캠핑장,4.3,303
477,자갈치시장,4.1,"11,241"
478,40계단 문화관광테마거리,3.8,"1,624"
479,비프광장로,,
480,영도대교,4.4,196
481,보수동책방골목,4.3,41
482,용두산공원,4.2,"6,413"
